HEATWAVE-F7.-BOM
Id;Designator;Package;Quantity;Designation;Supplier and ref;Price ($);
1;U4;LQFP-64_10x10mm_P0.5mm;1;STM32F722RETx;C118207;4,8957;
3;U7;TSSOP-28-1EP_4.4x9.7mm_P0.65mm;1;MAX7456 (AT7456);C82351;2,3145;
4;C10,C24;C_0402_1005Metric;2;2.2nF;;;
5;U1;LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y;1;ICM-20602;C97633;2,5551;
6;U2;InvenSense_QFN-24_4x4mm_P0.5mm;1;MPU-6000;;;
7;Y1;Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm;1;16Mhz;;0,5;
8;C1,C8,C9;C_0805_2012Metric;3;10uF;;;
9;C2,C3,C4,C5,C21,C23,C12,C15,C16,C17;C_0805_2012Metric;10;100nF;;;
10;C6,C7;C_0402_1005Metric;2;4.7uF;;;
11;C22;C_0402_1005Metric;1;10nF;;;
12;R1;R_0805_2012Metric;1;10k;;;
13;C11;C_0402_1005Metric;1;100nF;;;
14;R6,R7,R8;R_0805_2012Metric;3;1K;;;
15;C13,C14;C_0402_1005Metric;2;47uF;;;
16;D1;D_0805_2012Metric;1;D;;;
18;R2,R3;R_0402_1005Metric;2;22R;;;
19;SW1;SW_SPST_SKQG_WithoutStem;1;SW_DPST;;;
20;U5;SOT-223-3_TabPin2;1;AMS1117-3.3;C6186;0,1263;
21;Y2;Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm;1;27Mhz_GND24;;0,5;
22;J1;USB_Mini-B_Wuerth_65100516121_Horizontal;1;USB_B_Mini;;1;
;;;;;TOTAL($);11,8916;
